Correct,Incorrect,Incorrect,Incorrect,Word Type
Alfredo,Potato,Tomato,Cookie Dough,Food
Lime ,Thyme,Wine,Sardine,Food
Cheese,Peas,Leek,Beet,Food
Zucchini,Linguine,Panini,Martini,Food
Burrito,Taquito,Cheeto,Dorito,Food
Cake,Shake,Steak,Pancake,Food
Ham ,Jam,Yam,Spam,Food
Salt ,Malt,Water,Butter,Food
Yolk,Coke,Artichoke,Poke,Food
Quiche,Quinoa,Cacao,Cocoa,Food
Jerkey,Turkey,Tofurkey,Pastry,Food
Juice,Mousse,Cucumber ,Fruits,Food
Donut,Peanut,Walnut,Hazelnut,Food
Rasin,Bacon,Sorbet,Bagel,Food
Cinnamon ,Nutmeg,Cumin,Allspice ,Food
Salt,Pepper,Oil,Vinegar ,Food
Ketchup,Mustard,Mayo ,Relish,Food
Fish,Steak,Pork,Chicken,Food
Fry,Chip,Salad,Soup,Food
Milkshake,Smoothie,Frappe,Icee,Food
Coffee,Tea,Latte,Espresso ,Food
Latte,Cappuccino,Americano,Drip,Food
Milk,Oat,Soy,Almond,Food
Soy Sauce,Wasabi,Ginger,Sriracha,Food
Guacamole,Salsa,Queso,Crema,Food
Ham,Salami,Pastrami,Roast Beef,Food
Sourdough ,Rye,White,Wheat,Food
Lettuce ,Tomato,Pickle,Onion,Food
Flour,Sugar,Baking Powder,Baking Soda,Food
