Correct,Incorrect,Incorrect,Incorrect,Word Type
Store,Shore,Dorm,Park,Place
Bakery,University,Nursery,Infirmary,Place
Bank,Lake,Playground,Stage,Place
Hotel,Motel,Well,Stairwell,Place
Forest,Florist,Dentist,Rainforest,Place
Pool,School,Saloon ,Room,Place
Pizzeria,Taqueria,Cafeteria,Panaderia,Place
Court,Port,Fort,Porch,Place
Planetarium,Aquarium,Stadium,Auditorium,Place
Farm,Barn,Dorm,Cornfield,Place
Mall,Ball,Hall,Carnival,Place
Beach,Church,Ranch,Porch,Place
Gym,Museum,Kingdom,Stadium,Place
Pharmacy,Garden,Park,Parlor,Place
Trail,Landfill,Jail,Mill,Place
Warehouse,Townhouse,Lighthouse,Greenhouse,Place
Station,Mountain,Mansion,Junction,Place
Zoo,Igloo,Boutique,DriveThru,Place
Mall,Waterfall,Hospital,City Hall,Place
Resort,Seaport,Courthouse,Airport,Place
River,Lake,Ocean,Pool,Place
Library,School,Office,Gym,Place
Countryside,Beach,Mountains,Forest,Place
Restaurant,Cafe,Bistro,Deli,Place
Movies ,Cinema,Theater,Opera,Place
Track,Gym,Trail,Field,Place
Office,Firm,Company,Agency,Place
Concert,Party,Event,Festival,Place
Store,Shop,Market,Boutique,Place
House,Hotel,Villa,Apartment,Place
Train,Bus,Car,Boat,Place
