Slay,Flay,Say,Fray,Noun,/s/
Sash,Flash,Slash,Fresh,Noun,/s/
Soot,Foot,Sought,Fought,Noun,/s/
Stool,Fool,Spool,Foal,Noun,/s/
Stall,Fall,Spill,Fill,Noun,/s/
Fits,Sits,Fifths,Sifts,Noun,/f/
Cuff,Cuss,Cliff,Class,Noun,/f/
Fat,Sat,Fate,Sate,Noun,/f/
Buff,Bus,Beef,Bust,Noun,/f/
Few,Slew,Flew,Sew,Noun,/f/
Snake,Flake,Stake,Frame,Noun,/s/
Dress,Chef,Elf,Mess,Noun,/s/
Coffee,Toffee,Flosser,Trustee,Noun,/f/
Roof,Hoof,Goose,Kangaroo,Noun,/f/
Fire,Sire,Squire,Flier,Noun,/f/
Soft,Frothed,Strong,Flawed,Adjective,/s/
Sad,Fast,Flat,Smart,Adjective,/s/
Safe,Faint,Sane,Frayed,Adjective,/s/
Sour,Foul,Frowny,Stout,Adjective,/s/
Slim,Slick,Fit,Finned,Adjective,/s/
Full,Fluffed,Sunk,Sunned,Adjective,/f/
Fine,Sane,Slain,Famed,Adjective,/f/
Fair,Flared,Scarce,Smart,Adjective,/f/
Fresh,Squished,Fretted,Fishy,Adjective,/f/
Fierce,Fleecey,Sweet,Sleepy,Adjective,/f/
Fluffy,Puffy,Messy,Sassy,Adjective,/f/
Fearful,Cheerful,Abysmal,Universal,Adjective,/f/
Fierce,Brief,Beef,Messy,Adjective,/s/
Serious,Spacious,Furious,Famous,Adjective,/s/
Faithful,Graceful,Casual,Abyssal,Adjective,/f/
